-100,0
-14.992,0
-14.492,0
-13.992,0
-13.492,0
-12.992,0
-12.492,0
-11.992,0
-11.492,0
-10.992,0
-10.492,0
-9.992,0
-9.492,0
-8.992,0
-8.492,0
-7.992,0
-7.492,0
-6.992,0
-6.492,0
-5.992,0
-5.492,0
-4.992,0
-4.492,0
-3.992,0
-3.492,0
-2.992,0
-2.492,0
-1.992,0
-1.492,0
-0.992,0
-0.492,0
-.01,0
0.008,18.884
0.014,25.261
0.026,44.385
0.032,56.652
0.047,65.485
0.086,69.407
0.151,76.92
0.218,81.684
0.255,85.127
0.296,86.106
0.337,89.549
0.396,90.537
0.417,93.482
0.458,92.503
0.525,89.08
0.583,88.591
0.64,87.613
0.714,86.155
0.779,83.71
0.886,80.287
0.943,76.364
0.963,75.386
0.986,61.163
1.007,43.028
1.019,26.838
1.031,11.148
1.036,4.772
1.04,0
1.54,0
2.04,0
2.54,0
3.04,0
3.54,0
4.04,0
4.54,0
5.04,0
5.54,0
6.04,0
6.54,0
7.04,0
7.54,0
8.04,0
8.54,0
9.04,0
9.54,0
10.04,0
10.54,0
11.04,0
11.54,0
12.04,0
100,0
